device_id,s_date,e_date,s_lat,s_lng,e_lat,e_lng,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,start_gps,end_gps,distance,start_add,end_add,s_teukbyul_si/do,s_teukbyulsi/goon/gu,s_dong/eup/myun,e_teukbyulsi/do,e_teukbyulsi/goon/gu,e_dong/eup/myun,road_list,duration,fee,root_dist
864000000000000.0,2021-06-08 12:00,2021-06-08 12:00,37.5678099,126.8250283,37.5925533,126.6931733,2045.043,187.187,152.152,144.144,187.187,373.373,0.0,63.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5678099, 126.8250283","37.5925533, 126.6931733",11.94065075396049,서울특별시 강서구 마곡동 364-1,인천광역시 서구 당하동 996-4,서울특별시,강서구,마곡동,인천광역시,서구,당하동,원활 올림픽대로 1.8km 원활 벌말로 1.6km 원활 드림로 9.1km,23분,"20,730원",18km
864000000000000.0,2021-06-08 22:00,2021-06-08 22:00,35.23503,128.9031499,35.1810116,128.9553216,3283.28,100.1,77.077,107.107,108.108,167.167,106.7942123,55.92140579,-0.2898359,0.0,0.0,0.0,0.0,0.0,0.0,"35.23503, 128.9031499","35.1810116, 128.9553216",7.651564341029363,경상남도 김해시 어방동 1098-13,부산광역시 강서구 공항진입로 25,경상남도,김해시,어방동,부산광역시,강서구,공항진입로,원활 김해대로 2.6km 원활 낙동북로 4.2km 미확인 공항로 3.1km,16분,"20,470원",12km
864000000000000.0,2021-06-08 22:00,2021-06-08 22:00,35.1810116,128.9553216,35.1804316,128.9545833,720.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1810116, 128.9553216","35.1804316, 128.9545833",0.0930684441598976,부산광역시 강서구 공항진입로 25,부산광역시 강서구 대저2동 1839-3,부산광역시,강서구,공항진입로,부산광역시,강서구,대저2동,미확인 공항진입로 132m 미확인 공항로811번길 204m,1분,"4,550원",480m
862000000000000.0,2021-06-08 23:00,2021-06-08 23:00,37.5413316,126.8712366,37.5632016,126.8615933,1832.831,166.7835388,137.137,15.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5413316, 126.8712366","37.5632016, 126.8615933",2.576142520693971,서울특별시 양천구 목동 231-87,서울특별시 강서구 가양3동 1485-3,서울특별시,양천구,목동,서울특별시,강서구,가양3동,미확인 목동중앙본로 553m 서행 목동중앙북로 777m 미확인 공항대로59길 591m,7분,"5,750원",3.4km
864000000000000.0,2021-06-08 23:00,2021-06-08 23:00,35.1804316,128.9545833,35.1768566,128.9508366,1500.499,18.018,12.70089054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1804316, 128.9545833","35.1768566, 128.9508366",0.523431613986952,부산광역시 강서구 대저2동 1839-3,부산광역시 강서구 대저2동 2162-2,부산광역시,강서구,대저2동,부산광역시,강서구,대저2동,미확인 공항앞길 553m,1분,"4,550원",568m
864000000000000.0,2021-06-08 23:00,2021-06-09 0:00,35.165535,128.9576133,35.2429316,128.6219916,3153.15,211.211,319.319,285.285,274.274,289.289,173.173,55.055,180.3403473,242.242,16.016,25.025,0.0,0.0,0.0,"35.165535, 128.9576133","35.2429316, 128.6219916",31.68498129616356,"부산광역시 강서구 유통 단지 1 로 41, 125 동 103 호",경상남도 창원시 의창구 팔용동 60-1,부산광역시,강서구,유통,경상남도,창원시,의창구,원활 남해제2고속도로지선 16km 원활 금관대로 7.1km 원활 창원대로 12km,33분,"53,330원",37km
864000000000000.0,2021-06-08 23:00,2021-06-08 23:00,35.1768566,128.9508366,35.1767416,128.9508516,1142.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1768566, 128.9508366","35.1767416, 128.9508516",0.0128599041022966,부산광역시 강서구 대저2동 2162-2,부산광역시 강서구 공항앞길 116,부산광역시,강서구,대저2동,부산광역시,강서구,공항앞길,,,,
864000000000000.0,2021-06-08 23:00,2021-06-09 0:00,35.1776066,128.9509116,35.3276849,128.7536583,2382.191162,221.2162018,320.32,252.6614532,206.206,256.256,133.133,187.187,584.584,0.0,0.0,0.0,0.0,0.0,0.0,"35.1776066, 128.9509116","35.3276849, 128.7536583",24.48065490836869,부산광역시 강서구 공항앞길 106-11,경상남도 김해시 한림면 가산리 343,부산광역시,강서구,공항앞길,경상남도,김해시,한림면,원활 낙동북로 4.3km 원활 동서대로 17km 원활 김해대로 4.1km,34분,"51,720원",36km
864000000000000.0,2021-06-08 23:00,2021-06-08 23:00,35.1766499,128.9507616,35.1768283,128.950775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1766499, 128.9507616","35.1768283, 128.950775",0.0198745538471342,부산광역시 강서구 대저2동 2401-5,부산광역시 강서구 공항앞길 116,부산광역시,강서구,대저2동,부산광역시,강서구,공항앞길,,1분,"4,550원",29m
864000000000000.0,2021-06-08 23:00,2021-06-09 0:00,35.1774916,128.9506733,35.1621733,129.1643683,2737.735,537.537,359.7189636,169.169,474.474,443.443,131.131,13.013,5.005,29.029,0.0,0.0,0.0,0.0,0.0,"35.1774916, 128.9506733","35.1621733, 129.1643683",19.49860564837463,부산광역시 강서구 대저2동 2159,부산광역시 해운대구 중1동 1398-17,부산광역시,강서구,대저2동,부산광역시,해운대구,중1동,원활 동서고가로 9.9km 원활 번영로 5.1km 서행 해운대로 4km,33분,"38,530원",30km
