max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
3051.4,118,136,87,69,0,0,0,0,0,0,0,0,0,0,"마곡중앙8로,공항대로,하늘길",6000,13,4.4
2788.68,289,311,138,154,95,35,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,수색로",13390,30,12
4501.57,271,209,245,132,163,35,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,수색로",13790,32,12
2055.3,48,49,28,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡동로,공항대로",3800,3,0.6950000000000001
2840.31,163,160,183,140,24,0,0,0,0,0,0,0,0,0,"강서로,화곡로,남부순환로",8600,24,7.5
2467.38,138,240,115,56,0,0,0,0,0,0,0,0,0,0,"강서로56가길,강서로,가로공원로",6000,14,4.4
2750.4,301,266,128,191,181,35,0,0,0,0,0,0,0,0,"공항대로,노들로,성산로",12000,33,10
2379.66,158,89,42,87,0,0,0,0,0,0,0,0,0,0,"화곡로,남부순환로,남부순환로70길",5600,12,4.2
2454.0,170,161,164,87,14,0,0,0,0,0,0,0,0,0,"강서로,중앙로,신월로",8400,21,6.4
2540.72,145,92,51,56,0,0,0,0,0,0,0,0,0,0,"강서로,공항대로,등촌로",5000,11,3.6
2583.0,76,99,168,58,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,공항대로,하늘길",5600,11,3.9
2328.66,119,118,128,6,50,0,0,0,0,0,0,0,0,0,"강서로,중앙로,오목로",7800,20,5.6
1849.79,62,24,37,0,0,0,0,0,0,0,0,0,0,0,"강서로18길,강서로,마곡중앙2로",6000,13,3.9
2459.35,80,87,156,85,0,0,0,0,0,0,0,0,0,0,"공항대로,강서로,중앙로",6500,15,4.6
3188.48,199,138,247,111,0,0,0,0,0,0,0,0,0,0,"마곡중앙로,공항대로,안양천로",8600,25,7.4
2270.5,109,165,107,0,0,0,0,0,0,0,0,0,0,0,"강서로,공항대로,등촌로",5000,11,3.6
2692.0,107,64,296,176,93,116,6,0,0,0,0,0,0,0,"올림픽대로,가양대로,수색로",13390,31,12
3347.68,158,199,225,215,244,62,83,0,0,0,0,0,0,0,"공항대로,노들로,성산로",13900,41,12
2799.72,102,67,58,83,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,강서로,월정로",5700,15,4.6
3243.68,217,125,292,258,118,41,0,0,0,0,0,0,0,0,"공항대로,노들로,성산로",12600,36,11
2738.08,119,133,166,10,0,0,0,0,0,0,0,0,0,0,"강서로,중앙로,오목로",8000,20,5.6
1869.51,23,44,38,0,0,0,0,0,0,0,0,0,0,0,"공항대로,마곡동로,마곡중앙2로",3800,6,1.1
2500.59,26,12,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙4로,마곡동로,마곡동로4길",3800,3,0.541
2375.337158,136,97,73,49,0,0,0,0,0,0,0,0,0,0,"화곡로,공항대로,등촌로",4800,11,3.3
2742.04,255,232,400,179,89,32,38,0,0,0,0,0,0,0,"공항대로,노들로,성산로",13900,40,12
3131.1,88,118,191,6,0,0,0,0,0,0,0,0,0,0,"마곡중앙8로,공항대로,하늘길",6000,13,4.4
2358.18,44,44,28,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡동로,공항대로",3800,4,0.906
3682.0,171,100,215,140,51,0,0,0,0,0,0,0,0,0,"수명로,남부순환로,신월로",8800,25,7.4
0.01,0,0,0,0,20,0,0,19,0,0,0,0,0,0,"인천국제공항고속도로,공항동로,인천국제공항고속도로",6400,5,5.6
-0.01,0,0,0,0,40,0,0,0,0,0,0,0,0,0,"인천국제공항고속도로,제2경인고속도로(인천대교),영종해안남로",8400,7,8.3
