index,s_lat,s_lng,e_lat,e_lng,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km),med_est_dist,diff,pc1,pc2,clusters,time_sum,avg_speed,target,s,e
9,37.5595,126.8375516,37.5584083,126.834615,2055.3,48,49,28,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡동로,공항대로",3800,3,0.6950000000000001,1.1597222222222223,0.46472222222222226,-0.03652665858701124,0.010609123989655835,0,0.034722222222222224,33.4,0,"[37.5595, 126.8375516]","[37.5584083, 126.834615]"
75,37.5595083,126.83772,37.55818,126.8346233,2358.18,44,44,28,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡동로,공항대로",3800,4,0.906,1.0833333333333333,0.17733333333333323,-0.02673928976382866,0.018592406049681168,0,0.03222222222222222,33.62068965517241,0,"[37.5595083, 126.83772]","[37.55818, 126.8346233]"
201,37.5625483,126.81001,37.56564,126.8123016,0.09,20,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화동로,공항대로3길,방화동로",3800,1,0.432,0.1388888888888889,0.2931111111111111,-0.05497753205132676,-0.0060308530796622725,0,0.005555555555555556,25.0,0,"[37.5625483, 126.81001]","[37.56564, 126.8123016]"
253,37.57919,126.7995766,37.5739383,126.8059683,2145.0,68,20,8,0,6,0,0,0,0,0,0,0,0,0,"개화동로,양천로,양천로1길",3800,3,1.2,0.875,0.32499999999999996,-0.032957152851570526,0.008470296697957356,0,0.028333333333333332,30.88235294117647,0,"[37.57919, 126.7995766]","[37.5739383, 126.8059683]"
332,37.5589633,126.83523,37.5602466,126.8214,1810.48,0,3,55,0,0,0,0,0,0,0,0,0,0,0,"공항대로,마곡서로,마곡중앙3로",3800,4,1.5,0.7166666666666667,0.7833333333333333,-0.022540702819567694,0.01607663691845563,0,0.01611111111111111,44.48275862068966,2,"[37.5589633, 126.83523]","[37.5602466, 126.8214]"
357,37.5612483,126.8132683,37.5614133,126.8110466,2501.715576,0,0,4,0,4,0,0,0,0,0,0,0,0,0,"공항대로13길,공항대로,-",3800,1,0.211,0.12222222222222222,0.08877777777777777,-0.05653963258109389,-0.0050948514331962055,0,0.0022222222222222222,55.0,3,"[37.5612483, 126.8132683]","[37.5614133, 126.8110466]"
358,37.5714,126.8041333,37.5794466,126.7995433,3318.86,0,0,0,70,0,0,0,0,0,0,0,0,0,0,"개화동로,-,-",3800,2,0.969,1.0694444444444444,0.10044444444444445,-0.04288588823853294,0.0005717206692864191,0,0.019444444444444445,55.0,3,"[37.5714, 126.8041333]","[37.5794466, 126.7995433]"
368,37.4457516,126.37539,37.4485716,126.3721599,1870.0,30,36,12,12,0,0,0,0,0,0,0,0,0,0,"용유서로,을왕로,-",3800,2,0.544,0.8916666666666667,0.3476666666666667,-0.045889927718854334,0.0023717238355673177,0,0.025,35.666666666666664,1,"[37.4457516, 126.37539]","[37.4485716, 126.3721599]"
379,37.5385883,126.8266333,37.5450366,126.821925,1794.45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"남부순환로,남부순환로,-",3800,4,1.7,0.0625,1.6375,-0.02112703718176939,0.01522957660491168,0,0.0025,25.0,0,"[37.5385883, 126.8266333]","[37.5450366, 126.821925]"
380,37.54519,126.8218583,37.5561333,126.8199483,2096.64,19,31,13,47,0,0,0,0,0,0,0,0,0,0,"남부순환로19길,남부순환로,발산로",3800,4,1.6,1.3138888888888889,0.2861111111111112,-0.021833870000668543,0.015653106761683654,0,0.030555555555555555,43.0,2,"[37.54519, 126.8218583]","[37.5561333, 126.8199483]"
384,37.5590083,126.8351816,37.5591916,126.8331733,1608.88,4,9,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,강서로,공항대로",3800,3,1.0,0.11527777777777778,0.8847222222222222,-0.03437081848936883,0.009317357011501309,0,0.003611111111111111,31.923076923076927,0,"[37.5590083, 126.8351816]","[37.5591916, 126.8331733]"
385,37.55935,126.8312083,37.5595366,126.829025,1558.0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,"공항대로,-,-",3800,1,0.16,0.15,0.010000000000000009,-0.05690011731873245,-0.004878851053242497,0,0.0033333333333333335,44.99999999999999,2,"[37.55935, 126.8312083]","[37.5595366, 126.829025]"
387,37.558275,126.8187683,37.5595833,126.825565,2538.64,4,3,20,4,0,0,0,0,0,0,0,0,0,0,"마곡중앙1로,마곡서1로,공항대로",3800,4,0.808,0.3680555555555556,0.43994444444444447,-0.02743198592634983,0.019007465603317706,0,0.008611111111111111,42.74193548387097,2,"[37.558275, 126.8187683]","[37.5595833, 126.825565]"
409,35.176815,128.9508783,35.1776549,128.9506866,2484.36,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",3800,1,0.11800000000000001,0.05,0.068,-0.05719698710267009,-0.0047009683873982695,0,0.0016666666666666668,30.0,0,"[35.176815, 128.9508783]","[35.1776549, 128.9506866]"
459,37.4558816,126.3701516,37.44999,126.37336,0.01,20,0,40,0,0,0,0,0,0,0,0,0,0,0,"용유서로423번길,용유서로,-",3800,1,0.843,0.6388888888888888,0.20411111111111113,-0.05207244916565124,-0.007771562023995093,0,0.016666666666666666,38.33333333333333,1,"[37.4558816, 126.3701516]","[37.44999, 126.37336]"
460,37.44999,126.37336,37.4697666,126.3718316,0.08,20,40,119,20,0,0,0,0,0,0,0,0,0,0,"용유서로,용유로,-",4000,4,2.4,2.3208333333333333,0.07916666666666661,-0.01525534674578146,0.011108196845082813,0,0.05527777777777778,41.984924623115575,2,"[37.44999, 126.37336]","[37.4697666, 126.3718316]"
491,37.53834,126.8267616,37.5425066,126.8235083,-0.04,48,0,40,0,0,0,0,0,0,0,0,0,0,0,"남부순환로,-,-",3800,1,0.54,0.8333333333333334,0.29333333333333333,-0.05421415260691567,-0.006488265648976008,0,0.024444444444444446,34.09090909090909,0,"[37.53834, 126.8267616]","[37.5425066, 126.8235083]"
543,37.5484316,126.8203933,37.5521666,126.8258233,0.01,0,36,0,40,0,0,0,0,0,0,0,0,0,0,"수명로,남부순환로17길,남부순환로19길",3800,2,0.717,0.9611111111111111,0.24411111111111117,-0.0446671069421588,0.0016390166643517976,0,0.021111111111111112,45.526315789473685,2,"[37.5484316, 126.8203933]","[37.5521666, 126.8258233]"
558,37.5673699,126.80526,37.5605083,126.8075483,0.0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,"개화동로,남부순환로,-",4000,4,2.3,0.9166666666666666,1.3833333333333333,-0.015962179564680615,0.01153172700185479,0,0.016666666666666666,55.0,3,"[37.5673699, 126.80526]","[37.5605083, 126.8075483]"
559,37.5556183,126.8115,37.553665,126.8141433,0.08,0,0,0,0,20,0,0,0,0,0,0,0,0,0,"남부순환로,-,-",3800,1,0.307,0.3611111111111111,0.05411111111111111,-0.055861073074950696,-0.005501440383697303,0,0.005555555555555556,65.0,3,"[37.5556183, 126.8115]","[37.553665, 126.8141433]"
